Region,Gender,Handedness,Jacket,Age,Colour,Vote
east,male,right,full,new,white,Ted
west,male,right,part,new,black,Ted
east,male,right,part,new,black,Bernie
east,male,right,full,old,white,Ted
north,male,right,full,old,white,Hillary
north,female,right,never,old,white,Hillary
south,male,right,full,worn,white,Ted
east,female,right,never,new,black,Hillary
west,female,right,full,worn,black,Ted
east,female,right,full,new,white,Donald
east,female,right,full,new,white,Donald
east,female,right,full,new,white,Bernie
west,male,right,full,new,white,Ted
north,male,right,full,new,white,Donald
west,male,right,full,new,white,Ted
east,female,right,full,new,white,Donald
east,female,right,full,worn,white,Hillary
south,female,right,part,new,black,Hillary
east,male,left,full,new,white,Hillary
east,female,right,full,new,black,Hillary
south,female,right,full,old,black,Hillary
south,male,right,full,new,white,Donald
north,female,right,full,new,black,Hillary
east,female,right,full,new,black,Bernie
north,male,right,full,old,white,Hillary
north,female,right,full,new,white,Donald
east,male,right,full,new,white,Bernie
west,male,right,full,worn,white,Donald
south,female,right,full,old,white,Hillary
east,female,left,part,new,white,Donald
east,male,right,full,new,white,Bernie
north,female,right,part,old,black,Ted
north,male,right,full,new,white,Donald
south,female,right,full,worn,black,Bernie
west,female,right,part,worn,white,Ted
north,female,right,part,worn,white,Donald
west,male,right,part,new,white,Bernie
east,male,right,full,new,white,Donald
east,male,right,full,new,black,Ted
west,female,right,full,new,white,Bernie
east,male,right,full,new,white,Donald
east,female,right,full,new,white,Hillary
east,female,right,full,new,white,Hillary
east,female,right,never,new,white,Donald
west,male,right,full,new,white,Ted
north,female,right,full,worn,white,Hillary
east,female,right,full,old,white,Donald
west,female,right,full,worn,white,Bernie
east,male,right,full,old,white,Hillary
east,female,right,full,new,black,Donald
north,male,right,full,worn,white,Donald
east,female,right,full,new,black,Donald
east,female,right,part,new,white,Hillary
west,female,right,full,old,black,Bernie
east,female,right,full,worn,white,Donald
north,male,right,full,new,white,Hillary
east,male,right,part,new,black,Donald
north,male,right,full,new,black,Hillary
north,female,right,part,new,black,Hillary
east,female,right,full,worn,white,Ted
south,female,right,full,worn,white,Ted
east,female,right,never,worn,white,Donald
south,female,right,never,new,white,Donald
west,female,right,full,new,white,Donald
north,female,right,full,worn,white,Ted
north,female,right,never,old,white,Donald
north,female,right,never,old,white,Hillary
east,female,left,full,new,black,Bernie
south,female,right,full,worn,black,Hillary
east,female,right,never,new,white,Donald
west,female,right,full,worn,white,Hillary
east,female,left,never,new,black,Ted
east,female,right,full,new,black,Donald
north,female,right,full,new,black,Donald
south,male,right,full,worn,white,Donald
north,male,right,part,new,black,Hillary
east,female,right,full,new,black,Bernie
west,female,right,full,new,black,Bernie
east,female,right,full,new,white,Hillary
east,female,right,part,new,black,Hillary
east,female,right,never,new,black,Bernie
east,female,right,never,new,white,Hillary
south,male,right,part,old,black,Hillary
north,female,right,full,worn,white,Ted
north,male,right,full,old,white,Hillary
north,female,right,full,old,white,Hillary
north,male,right,full,new,white,Donald
east,female,right,full,new,white,Hillary
east,male,right,full,new,black,Bernie
east,male,right,full,new,white,Hillary
east,male,right,full,new,white,Donald
north,male,right,full,old,white,Hillary
east,female,left,full,new,black,Hillary
east,female,right,full,new,white,Bernie
west,male,right,full,new,white,Hillary
north,female,right,full,old,white,Hillary
west,female,right,part,worn,white,Donald
north,female,right,full,new,white,Hillary
north,female,right,never,old,white,Donald
east,female,right,part,old,black,Bernie
south,male,right,full,old,white,Donald
east,female,right,part,worn,black,Bernie
east,female,right,full,new,black,Donald
west,female,right,full,new,white,Donald
east,female,right,part,new,white,Ted
south,female,right,part,new,white,Hillary
east,female,left,full,worn,white,Hillary
north,female,right,part,new,black,Hillary
north,female,right,never,new,white,Hillary
south,female,left,full,worn,white,Ted
east,female,right,part,new,black,Bernie
west,male,right,full,new,white,Bernie
east,female,right,never,new,white,Bernie
east,female,right,full,new,white,Hillary
east,female,right,full,new,white,Donald
east,male,right,full,new,white,Donald
west,female,right,never,new,black,Hillary
east,female,left,full,new,white,Donald
east,male,right,full,old,white,Ted
east,female,right,full,old,black,Hillary
west,female,right,never,new,white,Ted
east,female,right,full,new,white,Donald
north,female,right,full,worn,white,Ted
east,male,right,full,new,white,Hillary
east,male,right,part,new,black,Bernie
east,male,right,full,new,white,Donald
east,female,right,full,new,white,Bernie
east,female,right,full,new,white,Donald
east,male,right,part,new,black,Bernie
north,male,right,full,old,white,Bernie
west,female,right,part,new,white,Ted
east,male,left,full,new,white,Donald
east,male,right,full,old,white,Hillary
east,female,right,never,worn,white,Hillary
east,female,right,full,new,black,Hillary
east,male,right,full,new,white,Donald
